lon,lat,ele,time,speed
2.586254747584462,39.660326689481735,162.60000610351562,2018-03-16T09:55:01Z,NA
2.5858877040445805,39.66078610159457,163.39999389648438,2018-03-16T09:55:12Z,19.64963592060909
2.5854647532105446,39.661216931417584,163.39999389648438,2018-03-16T09:55:22Z,21.641659189966123
2.5853145495057106,39.66132866218686,163.60000610351562,2018-03-16T09:55:25Z,21.479280942139223
2.5847441609948874,39.66167525388301,164,2018-03-16T09:55:36Z,20.38021061892564
2.584616336971522,39.661773992702365,164.1999969482422,2018-03-16T09:55:39Z,18.621524936011063
2.584314253181219,39.661897625774145,164.39999389648438,2018-03-16T09:55:44Z,21.10936258977597
2.583669601008296,39.66206870041787,165,2018-03-16T09:55:53Z,23.373855953594088
2.5834613107144833,39.6621401142329,165.1999969482422,2018-03-16T09:55:56Z,23.44794080631359
2.5831427983939648,39.66229802928865,165.60000610351562,2018-03-16T09:56:01Z,23.375644483276258
2.582549611106515,39.66257664375007,165.8000030517578,2018-03-16T09:56:10Z,23.819328963995577
2.582302512601018,39.66269373893738,166,2018-03-16T09:56:14Z,22.379096634413347
2.5817846786230803,39.66308877803385,166.1999969482422,2018-03-16T09:56:24Z,22.490835424896243
2.581513859331608,39.6633436717093,167.1999969482422,2018-03-16T09:56:30Z,21.99408890691815
2.581443702802062,39.663432436063886,167.1999969482422,2018-03-16T09:56:32Z,20.81960725431548
2.5812894757837057,39.663614155724645,167.8000030517578,2018-03-16T09:56:36Z,21.747305969409524
2.5811619870364666,39.66374818235636,168,2018-03-16T09:56:39Z,22.190476666493595
2.581120664253831,39.663794450461864,168.39999389648438,2018-03-16T09:56:40Z,22.501470792680188
2.581029050052166,39.66388841159642,168.60000610351562,2018-03-16T09:56:42Z,23.540830540324603
2.580868285149336,39.66409469023347,169,2018-03-16T09:56:46Z,24.100604271791084
2.580451620742678,39.664583187550306,169.8000030517578,2018-03-16T09:56:56Z,23.41932224620275
2.5802779477089643,39.664758536964655,170.8000030517578,2018-03-16T09:57:00Z,22.091536356203036
2.5798311084508896,39.66517796739936,171.60000610351562,2018-03-16T09:57:10Z,21.738208284688323
2.579758521169424,39.66527276672423,171.8000030517578,2018-03-16T09:57:12Z,22.049567280577826
2.5796812400221825,39.66536454856396,171.8000030517578,2018-03-16T09:57:14Z,21.916088535114433
2.579382341355086,39.66577182523906,173.1999969482422,2018-03-16T09:57:23Z,20.829035506467836
2.5792942475527525,39.66591280885041,173.60000610351562,2018-03-16T09:57:26Z,20.898421527766807
2.579225515946746,39.66610584408045,174.1999969482422,2018-03-16T09:57:30Z,20.052998225528015
2.579144546762109,39.666414046660066,175.1999969482422,2018-03-16T09:57:36Z,21.002098155009303
2.57912065833807,39.66646048240363,175.39999389648438,2018-03-16T09:57:37Z,20.01514107835391
2.578919157385826,39.66683733277023,176.39999389648438,2018-03-16T09:57:45Z,20.414376269861936
2.5787226017564535,39.667143104597926,177.60000610351562,2018-03-16T09:57:52Z,19.53130046743038
2.578665940091014,39.66721946373582,178,2018-03-16T09:57:54Z,17.620581408816758
2.5785761699080467,39.6673481259495,178.60000610351562,2018-03-16T09:57:58Z,14.631852379264302
2.5785084441304207,39.66742641292512,179,2018-03-16T09:58:03Z,7.538654655802925
2.5785158202052116,39.66738039627671,181.8000030517578,2018-03-16T10:03:09Z,0.06072230523041012
2.5784882437437773,39.66748877428472,181.39999389648438,2018-03-16T10:03:14Z,8.851551372090269
2.5781442504376173,39.66796360909939,181.8000030517578,2018-03-16T10:03:30Z,13.617374942454813
2.5779009237885475,39.668305004015565,182.8000030517578,2018-03-16T10:03:40Z,15.605216870618907
2.5777657236903906,39.66855143196881,184,2018-03-16T10:03:47Z,15.314504258733075
2.577701350674033,39.66866198927164,185.1999969482422,2018-03-16T10:03:51Z,12.138095082765815
2.5776002649217844,39.668843457475305,186,2018-03-16T10:03:56Z,15.825357378316188
2.577479314059019,39.66900162398815,186.39999389648438,2018-03-16T10:04:00Z,18.38776386491009
2.5772745441645384,39.66931837610901,187,2018-03-16T10:04:07Z,20.255188570156964
2.5771470554172993,39.6696225553751,187.39999389648438,2018-03-16T10:04:14Z,18.298091352410037
2.5771248433738947,39.66966597363353,187.60000610351562,2018-03-16T10:04:15Z,18.70034427859233
2.5769893918186426,39.66976932249963,187.8000030517578,2018-03-16T10:04:18Z,19.61064646546609
2.5764138903468847,39.67014726251364,188.1999969482422,2018-03-16T10:04:30Z,19.44638855458255
2.576178191229701,39.67030819505453,188.8000030517578,2018-03-16T10:04:35Z,19.437715844634635
2.5760661251842976,39.670368544757366,189.1999969482422,2018-03-16T10:04:37Z,21.09463373653743
2.5757989939302206,39.67045378871262,189.60000610351562,2018-03-16T10:04:41Z,22.300587013686663
2.5755110755562782,39.67051078565419,190,2018-03-16T10:04:45Z,22.92601548879132
2.57485443726182,39.67062880285084,190.60000610351562,2018-03-16T10:04:54Z,23.11117729754269
2.574458559975028,39.670754531398416,190.8000030517578,2018-03-16T10:05:00Z,22.016977240313373
2.5743008125573397,39.67093507759273,191,2018-03-16T10:05:04Z,21.798618021569144
2.5742704700678587,39.67098478227854,191,2018-03-16T10:05:05Z,22.00854349300856
2.574086654931307,39.67139373533428,192,2018-03-16T10:05:13Z,21.67740878160766
2.574073998257518,39.67144561931491,192.1999969482422,2018-03-16T10:05:14Z,21.15587189892029
2.573942905291915,39.67175675556064,193,2018-03-16T10:05:21Z,18.72587402784144
2.5739011634141207,39.6717828232795,193.39999389648438,2018-03-16T10:05:22Z,16.58069073771278
